grid,table_name,item,kind,definition
1,athlete_badges,id,uuid NOT NULL,gen_random_uuid()
1,athlete_badges,profile_id,uuid NOT NULL,
1,athlete_badges,label,text NOT NULL,
1,athlete_badges,icon_url,text,
1,athlete_badges,color_token,text,'primary'::text
1,athlete_badges,position,integer,0
1,athlete_badges,created_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,athlete_badges,updated_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,athlete_equipment,id,uuid NOT NULL,uuid_generate_v4()
1,athlete_equipment,profile_id,uuid NOT NULL,
1,athlete_equipment,sport_key,text,
1,athlete_equipment,category,text NOT NULL,
1,athlete_equipment,brand,text NOT NULL,
1,athlete_equipment,model,text NOT NULL,
1,athlete_equipment,image_url,text,
1,athlete_equipment,specs,jsonb,
1,athlete_equipment,status,text,'active'::text
1,athlete_equipment,acquired_date,date,
1,athlete_equipment,notes,text,
1,athlete_equipment,created_at,timestamp with time zone,now()
1,athlete_equipment,updated_at,timestamp with time zone,now()
1,athlete_equipment,added_at,timestamp with time zone,now()
1,athlete_equipment,retired_at,timestamp with time zone,
1,athlete_equipment,acquired_on,date,CURRENT_DATE
1,athlete_equipment,retired_on,date,
1,athlete_equipment,group_label,text,
1,comment_likes,id,uuid NOT NULL,gen_random_uuid()
1,comment_likes,comment_id,uuid NOT NULL,
1,comment_likes,profile_id,uuid NOT NULL,
1,comment_likes,created_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,connection_suggestions,id,uuid NOT NULL,gen_random_uuid()
1,connection_suggestions,profile_id,uuid NOT NULL,
1,connection_suggestions,suggested_profile_id,uuid NOT NULL,
1,connection_suggestions,score,"numeric(3,2)",0.5
1,connection_suggestions,reason,text,
1,connection_suggestions,dismissed,boolean,false
1,connection_suggestions,dismissed_at,timestamp with time zone,
1,connection_suggestions,created_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,follows,id,uuid NOT NULL,gen_random_uuid()
1,follows,follower_id,uuid NOT NULL,
1,follows,following_id,uuid NOT NULL,
1,follows,status,text,'accepted'::text
1,follows,message,text,
1,follows,created_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,follows,updated_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,golf_rounds,id,uuid NOT NULL,gen_random_uuid()
1,golf_rounds,profile_id,uuid NOT NULL,
1,golf_rounds,date,date NOT NULL,
1,golf_rounds,course,text NOT NULL,
1,golf_rounds,course_location,text,
1,golf_rounds,tee,text,
1,golf_rounds,holes,integer NOT NULL,18
1,golf_rounds,par,integer,72
1,golf_rounds,gross_score,integer,
1,golf_rounds,fir_percentage,"numeric(5,2)",
1,golf_rounds,gir_percentage,"numeric(5,2)",
1,golf_rounds,total_putts,integer,
1,golf_rounds,notes,text,
1,golf_rounds,is_complete,boolean,false
1,golf_rounds,created_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,golf_rounds,updated_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,golf_rounds,weather,text,
1,golf_rounds,temperature,integer,
1,golf_rounds,wind,text,
1,golf_rounds,course_rating,"numeric(4,1)",
1,golf_rounds,slope_rating,integer,
1,golf_rounds,round_type,text,'outdoor'::text
1,golf_rounds,group_post_id,uuid,
1,golf_rounds,course_id,uuid,
1,performances,id,uuid NOT NULL,gen_random_uuid()
1,performances,profile_id,uuid NOT NULL,
1,performances,date,date NOT NULL,
1,performances,event,text NOT NULL,
1,performances,result_place,text,
1,performances,stat_primary,text,
1,performances,organization,text,
1,performances,athletic_score,numeric,
1,performances,created_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,performances,updated_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,post_comments,id,uuid NOT NULL,gen_random_uuid()
1,post_comments,post_id,uuid NOT NULL,
1,post_comments,profile_id,uuid NOT NULL,
1,post_comments,parent_comment_id,uuid,
1,post_comments,content,text,
1,post_comments,created_at,timestamp with time zone,now()
1,post_comments,updated_at,timestamp with time zone,now()
1,post_comments,likes_count,integer,0
1,post_comments,gif_url,text,
1,post_comments,is_pinned,boolean,false
1,post_comments,mentions,uuid[] NOT NULL,'{}'::uuid[]
1,post_comments,created_by_user_id,uuid,
1,post_comments,status,text NOT NULL,'published'::text
1,post_comments,review_note,text,
1,post_comments,approval_nudged_at,timestamp with time zone,
1,post_likes,id,uuid NOT NULL,gen_random_uuid()
1,post_likes,post_id,uuid NOT NULL,
1,post_likes,profile_id,uuid NOT NULL,
1,post_likes,created_at,timestamp with time zone,now()
1,post_media,id,uuid NOT NULL,gen_random_uuid()
1,post_media,post_id,uuid NOT NULL,
1,post_media,media_url,text NOT NULL,
1,post_media,media_type,text NOT NULL,
1,post_media,thumbnail_url,text,
1,post_media,display_order,integer,0
1,post_media,width,integer,
1,post_media,height,integer,
1,post_media,duration,integer,
1,post_media,created_at,timestamp with time zone,now()
1,post_media,source_url,text,
1,post_media,edit_recipe,jsonb,
1,posts,id,uuid NOT NULL,gen_random_uuid()
1,posts,profile_id,uuid NOT NULL,
1,posts,sport_key,text,
1,posts,caption,text,
1,posts,visibility,text,'public'::text
1,posts,stats_data,jsonb,
1,posts,created_at,timestamp with time zone,now()
1,posts,updated_at,timestamp with time zone,now()
1,posts,likes_count,integer,0
1,posts,comments_count,integer,0
1,posts,shares_count,integer,0
1,posts,tags,text[],'{}'::text[]
1,posts,hashtags,text[],'{}'::text[]
1,posts,round_id,uuid,
1,posts,search_vector,tsvector,
1,posts,saves_count,integer NOT NULL,0
1,posts,group_post_id,uuid,
1,posts,activity_mode,text,
1,posts,is_pinned,boolean NOT NULL,false
1,posts,pinned_at,timestamp with time zone,
1,posts,status,text NOT NULL,'published'::text
1,posts,shared_post_id,uuid,
1,posts,reposts_count,integer NOT NULL,0
1,posts,post_category,text,
1,posts,created_by_user_id,uuid,
1,posts,review_note,text,
1,posts,approval_nudged_at,timestamp with time zone,
1,posts,event_id,uuid,
1,posts,contest_id,uuid,
1,privacy_settings,id,uuid NOT NULL,gen_random_uuid()
1,privacy_settings,profile_id,uuid,
1,privacy_settings,profile_visibility,text,'public'::text
1,privacy_settings,media_visibility,text,'inherit'::text
1,privacy_settings,stats_visibility,text,'inherit'::text
1,privacy_settings,posts_visibility,text,'inherit'::text
1,privacy_settings,activity_visibility,text,'inherit'::text
1,privacy_settings,created_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,privacy_settings,updated_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,profiles,id,uuid NOT NULL,
1,profiles,email,text NOT NULL,
1,profiles,first_name,text,
1,profiles,last_name,text,
1,profiles,nickname,text,
1,profiles,phone,text,
1,profiles,birthday,date,
1,profiles,gender,text,
1,profiles,location,text,
1,profiles,postal_code,text,
1,profiles,user_type,text,'athlete'::text
1,profiles,created_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,profiles,updated_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,profiles,username,text,
1,profiles,full_name,text,
1,profiles,bio,text,
1,profiles,height_cm,integer,
1,profiles,weight_kg,"numeric(5,2)",
1,profiles,dob,date,
1,profiles,class_year,integer,
1,profiles,social_twitter,text,
1,profiles,social_instagram,text,
1,profiles,social_facebook,text,
1,profiles,avatar_url,text,
1,profiles,weight_unit,text,'lbs'::text
1,profiles,weight_display,"numeric(5,2)",
1,profiles,display_name,text,
1,profiles,sport,text,
1,profiles,school,text,
1,profiles,coach,text,
1,profiles,graduation_year,integer,
1,profiles,gpa,"numeric(3,2)",
1,profiles,sat_score,integer,
1,profiles,act_score,integer,
1,profiles,visibility,text,'public'::text
1,profiles,middle_name,text,
1,profiles,search_vector,tsvector,
1,profiles,handle,text,
1,profiles,handle_updated_at,timestamp with time zone,
1,profiles,handle_change_count,integer,0
1,profiles,messaging_permission,text NOT NULL,'everyone'::text
1,profiles,onboarded_at,timestamp with time zone,
1,profiles,cover_url,text,
1,profiles,supervision_state,text NOT NULL,'self'::text
1,profiles,jurisdiction,text,
1,profiles,minor_threshold_age,smallint,
1,profiles,dob_locked,boolean NOT NULL,false
1,profiles,equipment_prefs,jsonb,
1,profiles,social_tiktok,text,
1,profiles,theme_prefs,jsonb,
1,profiles,comment_moderation,text NOT NULL,'held'::text
1,profiles,place_id,uuid,
1,profiles,city,text,
1,profiles,region,text,
1,profiles,region_code,text,
1,profiles,country,text,
1,profiles,country_code,text,
1,profiles,lat,double precision,
1,profiles,lng,double precision,
1,profiles,location_source,text,
1,profiles,vitals_privacy,jsonb,
1,profiles,deletion_requested_at,timestamp with time zone,
1,profiles,household_policy,jsonb,
1,profiles,recruiting_status,text,'closed'::text
1,profiles,recruiting_profile,jsonb,
1,profiles,scout_affiliation,text,
1,season_highlights,id,uuid NOT NULL,gen_random_uuid()
1,season_highlights,profile_id,uuid NOT NULL,
1,season_highlights,sport_key,text NOT NULL,
1,season_highlights,season,text NOT NULL,
1,season_highlights,metric_a,text,
1,season_highlights,metric_b,text,
1,season_highlights,metric_c,text,
1,season_highlights,rating,numeric,
1,season_highlights,created_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,season_highlights,updated_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,sports,id,uuid NOT NULL,gen_random_uuid()
1,sports,profile_id,uuid NOT NULL,
1,sports,sport_key,text NOT NULL,
1,sports,active,boolean,true
1,sports,created_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
1,sports,updated_at,timestamp with time zone NOT NULL,"timezone('utc'::text, now())"
2,athlete_badges,athlete_badges_pkey,p,PRIMARY KEY (id)
2,athlete_badges,athlete_badges_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
2,athlete_equipment,athlete_equipment_pkey,p,PRIMARY KEY (id)
2,athlete_equipment,athlete_equipment_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
2,athlete_equipment,athlete_equipment_status_check,c,"CHECK ((status = ANY (ARRAY['active'::text, 'retired'::text])))"
2,athlete_equipment,equipment_retired_after_acquired,c,CHECK (((retired_on IS NULL) OR (acquired_on IS NULL) OR (retired_on >= acquired_on)))
2,comment_likes,comment_likes_comment_id_fkey,f,FOREIGN KEY (comment_id) REFERENCES post_comments(id) ON DELETE CASCADE
